Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides B1,Peptides B2,Peptides B3,Peptides D1,Peptides D2,Peptides D3,Razor + unique peptides B1,Razor + unique peptides B2,Razor + unique peptides B3,Razor + unique peptides D1,Razor + unique peptides D2,Razor + unique peptides D3,Unique peptides B1,Unique peptides B2,Unique peptides B3,Unique peptides D1,Unique peptides D2,Unique peptides D3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type B1,Identification type B2,Identification type B3,Identification type D1,Identification type D2,Identification type D3,Sequence coverage B1 [%],Sequence coverage B2 [%],Sequence coverage B3 [%],Sequence coverage D1 [%],Sequence coverage D2 [%],Sequence coverage D3 [%],Intensity,Intensity B1,Intensity B2,Intensity B3,Intensity D1,Intensity D2,Intensity D3,LFQ intensity B1,LFQ intensity B2,LFQ intensity B3,LFQ intensity D1,LFQ intensity D2,LFQ intensity D3,MS/MS count B1,MS/MS count B2,MS/MS count B3,MS/MS count D1,MS/MS count D2,MS/MS count D3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
P05201,P05201,8,8,8,"Aspartate aminotransferase, cytoplasmic",Got1,"sp|P05201|AATC_MOUSE Aspartate aminotransferase, cytoplasmic OS=Mus musculus OX=10090 GN=Got1 PE=1 SV=3",1,8,8,8,5,5,5,7,8,7,5,5,5,7,8,7,5,5,5,7,8,7,20.3,20.3,20.3,46.247,413,413,1,37,0,32.228,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.9,13.1,13.1,20.3,20.3,18.2,92832000,1011500,2378000,2934500,22801000,31306000,32401000,717750,874470,722360,708390,692070,806210,3,3,3,5,7,4,25,,,,239,3947;4093;5360;8058;9493;10371;10386;10693,True;True;True;True;True;True;True;True,4095;4247;5565;8427;9921;10839;10854;11183,16161;16162;16163;16769;16770;16771;16772;16773;16774;22504;22505;22506;22507;22508;22509;34301;34302;34303;34304;40421;40422;40423;40424;40425;40426;44350;44351;44352;44353;44354;44355;44419;44420;44421;45891;45892;45893,12812;13310;13311;13312;13313;13314;13315;17758;26994;26995;26996;31896;31897;31898;31899;31900;35223;35224;35225;35226;35227;35228;35282;35283;36395,12812;13312;17758;26996;31898;35223;35283;36395,,,-1
P05202,P05202,15,15,15,"Aspartate aminotransferase, mitochondrial",Got2,"sp|P05202|AATM_MOUSE Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1",1,15,15,15,11,11,11,15,15,15,11,11,11,15,15,15,11,11,11,15,15,15,35.8,35.8,35.8,47.411,430,430,1,111,0,149.76,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,27.9,28.1,26,35.8,35.8,35.8,1482300000,18360000,37203000,29323000,464150000,469490000,463730000,6726200,5718100,5934500,9313600,7395000,7522400,10,9,11,19,18,18,85,,,,240,687;912;1578;2803;3921;3922;4620;5154;5245;7030;7291;7591;8094;9937;10345,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,713;947;948;1633;1634;2902;4067;4068;4800;5353;5446;7343;7631;7946;8463;10386;10813,2716;2717;2718;2719;2720;2721;3645;3646;3647;3648;3649;3650;3651;3652;3653;3654;3655;3656;3657;3658;3659;6293;6294;6295;6296;6297;6298;6299;6300;6301;11196;11197;11198;11199;11200;11201;11202;11203;11204;16043;16044;16045;16046;16047;16048;16049;16050;16051;16052;16053;16054;19269;19270;19271;19272;19273;19274;19275;19276;19277;19278;19279;19280;19281;19282;19283;19284;19285;19286;19287;19288;21634;21635;21636;21637;21638;21995;21996;21997;29662;29663;29664;29665;29666;31140;31141;31142;32396;32397;32398;32399;32400;32401;32402;32403;32404;32405;34478;34479;34480;42381;42382;42383;42384;42385;44259;44260;44261;44262;44263;44264,2122;2123;2124;2125;2126;2127;2858;2859;2860;2861;2862;2863;2864;2865;2866;2867;2868;2869;2870;2871;4892;4893;4894;4895;8770;8771;8772;8773;8774;8775;12715;12716;12717;12718;12719;12720;12721;12722;12723;12724;12725;12726;15333;15334;15335;15336;15337;15338;15339;15340;15341;17083;17084;17085;17361;17362;17363;23231;23232;23233;24678;24679;24680;25642;25643;25644;25645;25646;25647;25648;25649;27116;27117;27118;33585;33586;33587;33588;33589;35156;35157;35158;35159;35160;35161,2127;2863;4894;8774;12719;12725;15335;17083;17363;23233;24679;25648;27116;33588;35158,85;86;87,174;244;402,-1
P05213;P68373;P68368;Q9JJZ2,P05213;P68373;P68368;Q9JJZ2,16;16;11;10,1;1;1;1,1;1;1;1,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-4A chain;Tubulin alpha-8 chain,Tuba1b;Tuba1c;Tuba4a;Tuba8,sp|P05213|TBA1B_MOUSE Tubulin alpha-1B chain OS=Mus musculus OX=10090 GN=Tuba1b PE=1 SV=2;sp|P68373|TBA1C_MOUSE Tubulin alpha-1C chain OS=Mus musculus OX=10090 GN=Tuba1c PE=1 SV=1;sp|P68368|TBA4A_MOUSE Tubulin alpha-4A chain OS=Mus musculus OX=10090 GN=Tub,4,16,1,1,13,14,14,15,15,14,1,1,1,1,1,1,1,1,1,1,1,1,45.7,3.1,3.1,50.151,451,451;449;448;449,1,9,0,47.013,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,35.5,39,39,43.7,43.7,37,128140000,1337900,4213700,4589900,27873000,45042000,45086000,0,0,0,0,0,0,1,1,1,2,2,2,9,,,,241,200;838;1709;2324;2904;3048;4177;5543;5934;7275;7861;7862;8122;8427;9688;10374,False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False,207;870;1772;2411;3006;3155;4333;5753;5754;6161;7614;8222;8223;8491;8492;8804;10129;10842,800;801;802;803;804;805;3320;3321;3322;3323;3324;3325;3326;3327;3328;3329;3330;3331;3332;3333;3334;3335;3336;6863;6864;6865;6866;6867;6868;6869;6870;6871;6872;6873;9259;9260;11623;11624;11625;11626;11627;11628;11629;12280;17161;17162;17163;17164;17165;17166;17167;17168;17169;17170;17171;17172;17173;17174;23286;23287;23288;23289;23290;23291;23292;23293;23294;23295;23296;23297;23298;23299;23300;23301;23302;23303;23304;23305;23306;23307;23308;23309;23310;23311;23312;23313;23314;23315;24971;24972;24973;24974;24975;24976;24977;24978;24979;31078;31079;31080;31081;31082;31083;31084;31085;31086;31087;31088;31089;33547;33548;33549;33550;33551;33552;33553;33554;33555;33556;33557;33558;33559;33560;33561;33562;33563;33564;34580;34581;34582;34583;34584;34585;34586;34587;34588;34589;34590;34591;35839;35840;35841;35842;35843;35844;41383;41384;41385;41386;41387;41388;41389;41390;41391;44364;44365;44366;44367;44368,631;632;633;2607;2608;2609;2610;2611;2612;2613;2614;2615;2616;2617;2618;5347;5348;5349;5350;5351;5352;5353;5354;7225;7226;9127;9128;9658;13636;13637;13638;13639;13640;13641;13642;13643;13644;13645;13646;13647;13648;13649;13650;13651;13652;13653;13654;18370;18371;18372;18373;18374;18375;18376;18377;18378;18379;18380;18381;18382;18383;18384;18385;18386;18387;18388;19722;19723;19724;19725;19726;19727;19728;19729;19730;24637;24638;24639;24640;24641;24642;24643;24644;26458;26459;26460;26461;26462;26463;26464;26465;26466;26467;26468;26469;26470;26471;26472;26473;26474;27177;27178;27179;27180;27181;27182;28060;28061;28062;28063;28064;28065;32767;32768;32769;32770;32771;32772;32773;32774;35236;35237;35238;35239;35240,633;2610;5347;7226;9127;9658;13652;18384;19730;24644;26459;26467;27182;28065;32771;35239,88;89,398;413,-1;-1;-1;-1
P05531,P05531,1,1,1,X-linked lymphocyte-regulated protein PM1,Xlr,sp|P05531|XLR_MOUSE X-linked lymphocyte-regulated protein PM1 OS=Mus musculus OX=10090 GN=Xlr PE=2 SV=1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,4.3,4.3,4.3,24.612,208,208,1,3,0.00088067,2.3563,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,4.3,4.3,4.3,5018500,0,0,0,1662300,1052000,2304200,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,242,9148,TRUE,9559,38777;38778;38779,30266;30267;30268,30268,,,-1
P05977;P09542,P05977;P09542,1;1,1;1,1;1,"Myosin light chain 1/3, skeletal muscle isoform;Myosin light chain 3",Myl1;Myl3,"sp|P05977|MYL1_MOUSE Myosin light chain 1/3, skeletal muscle isoform OS=Mus musculus OX=10090 GN=Myl1 PE=1 SV=2;sp|P09542|MYL3_MOUSE Myosin light chain 3 OS=Mus musculus OX=10090 GN=Myl3 PE=1 SV=4",2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,8.5,8.5,8.5,20.594,188,188;204,1,3,0,6.1592,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,8.5,8.5,8.5,6221900,0,0,0,0,2439800,3782100,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,243,10287,TRUE,10754,44018;44019;44020,34951;34952;34953,34953,,,-1;-1
P06151;P00342,P06151,18;1,18;1,18;1,L-lactate dehydrogenase A chain,Ldha,sp|P06151|LDHA_MOUSE L-lactate dehydrogenase A chain OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=3,2,18,18,18,12,15,15,17,17,18,12,15,15,17,17,18,12,15,15,17,17,18,44.6,44.6,44.6,36.498,332,332;332,1,141,0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,37,41.6,41.6,44.6,44.6,44.6,2249000000,30309000,125360000,132530000,470510000,730660000,759610000,11840000,21540000,20472000,13046000,16979000,16092000,12,16,18,22,27,26,121,,,,244,781;782;1125;1126;1261;2191;2474;2922;5260;5988;6125;6791;8087;8564;8615;9010;9011;10911,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,811;812;1167;1168;1169;1306;2274;2565;3024;5462;6216;6217;6218;6359;7052;8456;8945;8946;9000;9410;9411;11407,3072;3073;3074;3075;3076;3077;3078;3079;3080;3081;3082;4485;4486;4487;4488;4489;4490;4491;4492;4493;4494;4495;4496;4497;4498;4499;4500;4501;4997;8762;8763;8764;8765;8766;9866;9867;9868;9869;9870;9871;11701;11702;11703;11704;11705;11706;22063;22064;22065;22066;22067;22068;25218;25219;25220;25221;25222;25223;25224;25225;25226;25227;25228;25229;25230;25231;25232;25233;25234;25802;25803;25804;25805;25806;25807;28607;28608;28609;28610;28611;28612;34445;34446;34447;34448;34449;34450;36356;36357;36358;36359;36360;36361;36362;36363;36364;36365;36366;36367;36368;36369;36370;36371;36372;36373;36374;36375;36376;36377;36378;36379;36380;36381;36382;36383;36384;36385;36640;36641;36642;36643;36644;36645;38251;38252;38253;38254;38255;38256;38257;38258;38259;38260;38261;38262;38263;38264;38265;46731;46732;46733,2391;2392;2393;2394;2395;2396;2397;2398;2399;2400;2401;2402;2403;3499;3500;3501;3502;3503;3504;3505;3506;3507;3508;3509;3510;3875;6812;6813;6814;6815;7728;7729;7730;7731;7732;9181;9182;9183;9184;9185;17410;17411;17412;17413;17414;17415;19933;19934;19935;19936;19937;19938;19939;19940;19941;19942;19943;19944;19945;19946;19947;20360;20361;20362;20363;20364;20365;20366;22487;22488;22489;22490;22491;22492;27085;27086;27087;27088;27089;27090;27091;28416;28417;28418;28419;28420;28421;28422;28423;28424;28425;28426;28427;28428;28429;28430;28431;28432;28433;28606;28607;28608;28609;28610;28611;29854;29855;29856;29857;29858;29859;29860;29861;29862;29863;29864;29865;29866;29867;29868;37037;37038;37039,2395;2403;3499;3502;3875;6812;7731;9181;17411;19943;20363;22487;27088;28419;28608;29857;29865;37039,90;91;92;93,54;62;63;276,-1;-1
P06745;CON__Q3ZBD7,P06745,17;7,17;7,17;7,Glucose-6-phosphate isomerase,Gpi,sp|P06745|G6PI_MOUSE Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4,2,17,17,17,10,14,14,15,16,16,10,14,14,15,16,16,10,14,14,15,16,16,46.1,46.1,46.1,62.766,558,558;557,1,92,0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,25.3,37.5,35.1,42.8,45.3,45.3,642720000,9733300,34666000,34603000,129190000,215750000,218790000,5008700,7729400,7836000,3700900,4962100,4623000,5,12,11,16,15,17,76,,,,245,850;1373;1833;2241;2617;3568;4341;4985;6574;6732;8895;9081;9585;9743;10296;10502;10982,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,882;1419;1902;2325;2712;3696;4502;5175;6829;6993;9289;9290;9488;9489;10018;10184;10763;10977;10978;11479,3389;3390;3391;3392;3393;3394;5430;7379;7380;7381;7382;7383;7384;8915;8916;8917;10450;10451;10452;10453;10454;10455;14433;14434;14435;14436;14437;14438;17886;17887;17888;17889;17890;17891;20882;20883;20884;20885;20886;20887;27728;27729;27730;27731;27732;27733;28398;28399;28400;28401;28402;37753;37754;37755;37756;37757;37758;38514;38515;38516;38517;38518;38519;38520;40761;40762;40763;40764;40765;40766;41619;41620;41621;41622;44053;44054;44055;44056;44057;44058;44995;44996;44997;44998;44999;45000;45001;45002;47048;47049;47050;47051,2661;2662;2663;2664;2665;2666;4228;5767;5768;5769;5770;5771;6940;6941;6942;6943;8175;8176;8177;11412;11413;11414;11415;11416;11417;14187;14188;14189;14190;14191;14192;16559;16560;16561;16562;21839;21840;21841;21842;22343;29478;29479;29480;29481;29482;29483;29484;30064;30065;30066;32206;32207;32208;32209;32210;32211;32963;32964;32965;32966;34978;34979;34980;34981;34982;35730;35731;35732;35733;35734;35735;35736;35737;35738;35739;37253;37254;37255,2661;4228;5770;6940;8175;11415;14191;16562;21840;22343;29479;30066;32208;32965;34981;35734;37254,94;95;96,119;166;263,-1;-1
P06801,P06801,2,2,2,NADP-dependent malic enzyme,Me1,sp|P06801|MAOX_MOUSE NADP-dependent malic enzyme OS=Mus musculus OX=10090 GN=Me1 PE=1 SV=2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,8.6,8.6,8.6,63.953,572,572,1,11,0,10.895,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,8.6,3.8,8.6,8.6,8.6,8.6,27859000,267620,408170,1030300,6552100,9387400,10213000,469910,0,641260,661480,803280,830050,1,0,0,3,2,2,8,,,,246,3624;4283,True;True,3753;4442,14672;14673;14674;14675;14676;17639;17640;17641;17642;17643;17644,11611;11612;11613;11614;14002;14003;14004;14005,11611;14005,,,-1
P07091,P07091,2,2,2,Protein S100-A4,S100a4,sp|P07091|S10A4_MOUSE Protein S100-A4 OS=Mus musculus OX=10090 GN=S100a4 PE=1 SV=1,1,2,2,2,0,0,0,2,1,2,0,0,0,2,1,2,0,0,0,2,1,2,24.8,24.8,24.8,11.721,101,101,1,5,0,80.878,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,24.8,16.8,24.8,104490000,0,0,0,28300000,30605000,45581000,0,0,0,2803200,0,2711000,0,0,0,2,1,1,4,,,,247,680;1902,True;True,706;1973,2693;2694;2695;7640;7641,2102;2103;2104;5975,2104;5975,,,-1
P07356,P07356,14,14,14,Annexin A2,Anxa2,sp|P07356|ANXA2_MOUSE Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2,1,14,14,14,6,10,10,14,14,13,6,10,10,14,14,13,6,10,10,14,14,13,49.6,49.6,49.6,38.676,339,339,1,79,0,144.66,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,20.6,33.6,33.6,49.6,49.6,48.4,545030000,2777600,9584500,10728000,143870000,186000000,192070000,3100700,3143600,3041800,4255800,4166200,3498400,4,5,5,10,15,13,52,,,,248,1947;1968;6651;6652;7656;8114;8637;9439;9497;9498;9720;9854;9869;11048,True;True;True;True;True;True;True;True;True;True;True;True;True;True,2018;2043;6907;6908;8011;8483;9023;9861;9862;9925;9926;10161;10301;10316;11546,7819;7820;7821;7822;7823;7824;7825;7826;7827;7913;7914;28046;28047;28048;28049;28050;28051;28052;28053;28054;28055;32650;32651;32652;32653;32654;32655;32656;34553;34554;34555;34556;34557;36729;36730;36731;36732;36733;36734;36735;36736;36737;40216;40217;40218;40219;40434;40435;40436;40437;40438;40439;40440;40441;40442;40443;40444;41515;41516;41517;41518;41519;42053;42054;42055;42056;42057;42109;42110;42111;42112;42113;42114;47301;47302;47303;47304;47305;47306,6112;6113;6177;22081;22082;22083;22084;22085;22086;22087;22088;25816;25817;25818;27161;27162;27163;27164;28675;28676;28677;28678;28679;31725;31726;31908;31909;31910;31911;31912;31913;31914;31915;31916;31917;31918;31919;32877;32878;32879;32880;32881;33327;33328;33329;33366;33367;33368;33369;33370;33371;37424;37425;37426,6113;6177;22085;22086;25818;27164;28675;31726;31909;31919;32880;33329;33367;37426,97,240,-1
P07607,P07607,4,4,4,Thymidylate synthase,Tyms,sp|P07607|TYSY_MOUSE Thymidylate synthase OS=Mus musculus OX=10090 GN=Tyms PE=1 SV=1,1,4,4,4,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,4,4,19.9,19.9,19.9,34.958,307,307,1,18,0,22.632,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.7,15.3,10.7,17.3,19.9,19.9,55466000,473320,1531000,1459400,14012000,18560000,19429000,852650,974640,1045400,1130500,1093300,1116200,1,0,0,3,4,4,12,,,,249,3577;5337;7683;9631,True;True;True;True,3705;5542;8041;10069,14462;14463;14464;14465;14466;22413;22414;22415;22416;22417;22418;32782;32783;32784;40952;40953;40954;40955,11440;11441;11442;17703;17704;17705;25901;25902;25903;32364;32365;32366,11442;17703;25903;32364,,,-1
P07742,P07742,12,12,12,Ribonucleoside-diphosphate reductase large subunit,Rrm1,sp|P07742|RIR1_MOUSE Ribonucleoside-diphosphate reductase large subunit OS=Mus musculus OX=10090 GN=Rrm1 PE=1 SV=2,1,12,12,12,9,9,9,11,10,10,9,9,9,11,10,10,9,9,9,11,10,10,21.7,21.7,21.7,90.209,792,792,1,64,0,168.05,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.3,16.3,16.3,20.7,17.9,17.9,284290000,3560000,10692000,9252800,70487000,86539000,103760000,1264600,1829500,1596500,1793000,1927200,1980500,5,7,8,12,10,11,53,,,,250,1284;2250;2842;3067;3803;3963;4206;4207;6745;9966;10141;11395,True;True;True;True;True;True;True;True;True;True;True;True,1329;2335;2942;3174;3945;3946;4111;4363;4364;7006;10418;10602;11909,5085;5086;5087;8950;8951;8952;8953;8954;8955;11382;11383;11384;11385;11386;11387;12358;15501;15502;15503;15504;15505;15506;15507;15508;15509;15510;15511;15512;16226;16227;16228;17295;17296;17297;17298;17299;17300;17301;17302;17303;28446;28447;28448;28449;28450;28451;42495;42496;42497;42498;42499;42500;43232;43233;43234;43235;43236;43237;48875;48876;48877;48878;48879;48880,3948;3949;6975;6976;6977;6978;6979;6980;8936;8937;8938;8939;8940;8941;9716;12245;12246;12247;12248;12249;12250;12251;12252;12253;12254;12255;12863;13734;13735;13736;13737;13738;13739;13740;13741;13742;22372;22373;33683;33684;33685;33686;33687;33688;34252;34253;34254;34255;38712;38713;38714;38715;38716;38717,3948;6979;8940;9716;12250;12863;13734;13741;22373;33688;34254;38713,98,515,-1
P07901,P07901,32,17,17,Heat shock protein HSP 90-alpha,Hsp90aa1,sp|P07901|HS90A_MOUSE Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4,1,32,17,17,23,27,25,31,30,32,10,14,11,16,16,17,10,14,11,16,16,17,35.3,22.1,22.1,84.787,733,733,1,93,0,306.29,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,29.2,33.7,31.8,34.4,35.2,35.3,839170000,12535000,40589000,37840000,198190000,254750000,295260000,6789900,8227900,7476600,4487800,4653600,5264600,10,14,13,17,18,19,91,,,,251,94;468;1271;1522;1612;1613;1614;1851;1852;1864;1865;3443;3566;3645;3682;3738;3828;3829;4400;4574;4575;4963;7368;8133;9039;10468;10469;11188;11189;11190;11274;11538,False;True;True;False;False;False;False;True;True;True;True;False;False;True;True;False;True;True;True;False;False;True;True;True;True;False;False;False;False;True;False;True,97;485;1316;1577;1668;1669;1670;1920;1921;1935;1936;3564;3694;3777;3817;3876;3971;3972;4564;4750;4751;5153;7715;8503;9439;10941;10942;11690;11691;11692;11783;12058,362;363;364;365;366;367;368;369;370;1870;1871;1872;5027;5028;5029;5030;5031;5032;5033;5034;6066;6067;6068;6069;6070;6419;6420;6421;6422;6423;6424;6425;6426;6427;6428;6429;6430;6431;6432;6433;6434;6435;6436;6437;7445;7446;7447;7448;7449;7450;7451;7452;7453;7454;7455;7456;7457;7458;7459;7460;7509;7510;7511;7512;7513;7514;7515;7516;7517;13878;13879;13880;13881;13882;13883;13884;13885;13886;14419;14420;14421;14422;14423;14424;14425;14426;14779;14780;14781;14782;14783;14949;14950;14951;14952;14953;14954;14955;14956;14957;15202;15203;15204;15205;15206;15207;15623;15624;15625;15626;15627;15628;15629;15630;15631;18122;18123;18124;18125;18126;19040;19041;19042;19043;19044;19045;19046;19047;19048;19049;19050;19051;20766;20767;31497;31498;31499;31500;31501;31502;34632;34633;34634;38356;38357;38358;38359;38360;38361;44830;44831;44832;44833;44834;44835;44836;44837;44838;44839;44840;44841;44842;44843;44844;44845;44846;44847;44848;44849;44850;44851;44852;44853;44854;44855;44856;44857;44858;44859;44860;44861;44862;44863;44864;44865;47964;47965;47966;47967;47968;47969;47970;47971;47972;47973;47974;47975;47976;47977;47978;48386;48387;48388;48389;48390;48391;49598;49599;49600;49601;49602;49603,288;289;290;291;292;293;294;295;296;1468;1469;1470;3900;3901;3902;3903;3904;3905;3906;4721;4722;4723;4724;4725;4992;4993;4994;4995;4996;4997;4998;4999;5000;5001;5002;5003;5004;5005;5006;5812;5813;5814;5815;5816;5817;5818;5819;5820;5821;5822;5823;5824;5868;5869;5870;5871;5872;5873;5874;10933;10934;10935;10936;10937;10938;10939;10940;10941;11384;11385;11386;11387;11388;11389;11390;11391;11392;11393;11394;11395;11396;11397;11398;11399;11400;11401;11402;11403;11404;11696;11697;11698;11699;11700;11701;11831;11832;11833;11834;11835;11836;11837;11838;11839;12024;12025;12026;12027;12028;12029;12030;12031;12346;12347;12348;12349;12350;12351;12352;12353;12354;12355;14369;14370;14371;14372;14373;15150;15151;15152;15153;15154;15155;15156;15157;15158;15159;16476;16477;24942;24943;24944;24945;24946;24947;24948;24949;27214;27215;27216;29940;29941;29942;29943;29944;29945;35600;35601;35602;35603;35604;35605;35606;35607;35608;35609;35610;35611;35612;35613;35614;35615;35616;35617;35618;35619;35620;35621;35622;35623;35624;35625;35626;35627;35628;35629;35630;35631;35632;35633;35634;35635;35636;35637;35638;35639;35640;35641;37969;37970;37971;37972;37973;37974;37975;37976;37977;37978;37979;37980;37981;37982;38322;38323;38324;38325;38326;38327;39331;39332;39333;39334;39335;39336,291;1469;3903;4723;4997;4999;5004;5816;5819;5869;5874;10936;11399;11700;11838;12029;12347;12353;14373;15151;15159;16476;24944;27216;29943;35614;35637;37969;37975;37981;38322;39334,,,-1
P07903,P07903,1,1,1,DNA excision repair protein ERCC-1,Ercc1,sp|P07903|ERCC1_MOUSE DNA excision repair protein ERCC-1 OS=Mus musculus OX=10090 GN=Ercc1 PE=2 SV=2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,4,4,4,32.909,298,298,1,2,0.0068109,1.7444,,,,,By MS/MS,By MS/MS,0,0,0,0,4,4,933670,0,0,0,0,573650,360030,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,252,8356,TRUE,8729,35560;35561,27865,27865,,,-1
P08003,P08003,10,10,10,Protein disulfide-isomerase A4,Pdia4,sp|P08003|PDIA4_MOUSE Protein disulfide-isomerase A4 OS=Mus musculus OX=10090 GN=Pdia4 PE=1 SV=3,1,10,10,10,5,4,5,8,9,7,5,4,5,8,9,7,5,4,5,8,9,7,16.1,16.1,16.1,71.982,638,638,1,40,0,15.976,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,7.7,6,7.7,12.4,14.4,10.7,98128000,821730,1317700,1503300,26217000,34691000,33578000,763840,636120,750170,665280,581190,644280,4,3,4,8,8,5,32,,,,253,2287;2344;3505;6797;6898;7854;8189;9559;10203;10254,True;True;True;True;True;True;True;True;True;True,2372;2431;3629;7058;7172;8215;8562;9991;10665;10718,9098;9099;9323;9324;9325;9326;9327;9328;14148;14149;14150;14151;14152;14153;28632;28633;28634;28635;28636;28637;29056;29057;29058;33520;33521;33522;33523;33524;33525;34863;34864;34865;40673;43603;43604;43605;43606;43841;43842;43843,7101;7275;7276;7277;7278;7279;7280;11169;11170;11171;11172;11173;11174;22507;22508;22509;22510;22511;22512;22824;22825;26438;26439;26440;27380;27381;27382;32108;34600;34601;34602;34816,7101;7279;11171;22508;22825;26440;27381;32108;34600;34816,99,576,-1
P08030,P08030,7,7,7,Adenine phosphoribosyltransferase,Aprt,sp|P08030|APT_MOUSE Adenine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Aprt PE=1 SV=2,1,7,7,7,6,6,6,6,7,7,6,6,6,6,7,7,6,6,6,6,7,7,44.4,44.4,44.4,19.724,180,180,1,41,0,49.017,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,41.1,41.1,41.1,37.2,44.4,44.4,1009900000,9017100,18140000,19002000,223360000,366700000,373700000,3732100,3608200,3717500,8373300,7345800,10399000,5,6,6,7,8,8,40,,,,254,139;1080;4006;6045;6365;8774;9336,True;True;True;True;True;True;True,143;1120;4158;6278;6612;9164;9753,539;540;541;542;543;544;4303;4304;4305;4306;4307;4308;4309;4310;4311;16432;16433;16434;16435;16436;16437;25469;25470;25471;25472;25473;25474;26824;26825;26826;26827;26828;26829;37239;37240;37241;37242;37243;39475;39476;39477,426;427;428;429;430;431;3356;3357;3358;3359;3360;3361;3362;13029;13030;13031;13032;13033;13034;20105;20106;20107;20108;20109;20110;21162;21163;21164;21165;21166;21167;29078;29079;29080;29081;29082;29083;29084;30860;30861;30862,429;3359;13029;20107;21166;29081;30861,,,-1
