Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides A1,Peptides A2,Peptides A3,Peptides C1,Peptides C2,Peptides C3,Razor + unique peptides A1,Razor + unique peptides A2,Razor + unique peptides A3,Razor + unique peptides C1,Razor + unique peptides C2,Razor + unique peptides C3,Unique peptides A1,Unique peptides A2,Unique peptides A3,Unique peptides C1,Unique peptides C2,Unique peptides C3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type A1,Identification type A2,Identification type A3,Identification type C1,Identification type C2,Identification type C3,Sequence coverage A1 [%],Sequence coverage A2 [%],Sequence coverage A3 [%],Sequence coverage C1 [%],Sequence coverage C2 [%],Sequence coverage C3 [%],Intensity,Intensity A1,Intensity A2,Intensity A3,Intensity C1,Intensity C2,Intensity C3,LFQ intensity A1,LFQ intensity A2,LFQ intensity A3,LFQ intensity C1,LFQ intensity C2,LFQ intensity C3,MS/MS count A1,MS/MS count A2,MS/MS count A3,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
O08756,O08756,3,3,3,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10,sp|O08756|HCD2_MOUSE 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus OX=10090 GN=Hsd17b10 PE=1 SV=4,1,3,3,3,2,1,1,2,2,3,2,1,1,2,2,3,2,1,1,2,2,3,16.5,16.5,16.5,27.418,261,261,1,11,0,69.066,By MS/MS,By matching,By matching,By matching,By MS/MS,By MS/MS,11.1,6.5,6.5,11.9,11.1,16.5,13918000,1341200,95058,52931,1974600,5007600,5446800,325900,0,0,217100,224610,285460,1,0,0,0,3,3,7,,,,99,6748;7150;10441,True;True;True,7012;7482;10922,27583;27584;27585;27586;27587;27588;29588;29589;29590;43574;43575,21352;21353;23128;23129;23130;23131;34201,21352;23130;34201,49,136,-1
O08759,O08759,7,7,7,Ubiquitin-protein ligase E3A,Ube3a,sp|O08759|UBE3A_MOUSE Ubiquitin-protein ligase E3A OS=Mus musculus OX=10090 GN=Ube3a PE=1 SV=2,1,7,7,7,7,2,5,4,3,3,7,2,5,4,3,3,7,2,5,4,3,3,9.2,9.2,9.2,99.818,870,870,1,24,0,42.806,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,9.2,2.8,6.6,4.9,3.9,3.9,15588000,3303800,265340,699060,4714500,4656300,1949000,498820,182260,284430,197830,187660,167070,7,0,1,1,2,0,11,,,,100,995;1063;2092;5688;7282;7325;9103,True;True;True;True;True;True;True,1033;1106;2168;5912;7620;7665;9518,3808;4080;4081;4082;4083;4084;4085;8123;8124;8125;8126;8127;23245;30128;30129;30130;30305;30306;30307;30308;30309;30310;37541;37542,3001;3213;6265;6266;18062;23559;23560;23561;23687;23688;29008,3001;3213;6265;18062;23560;23687;29008,,,-1
O08788,O08788,3,3,3,Dynactin subunit 1,Dctn1,sp|O08788|DCTN1_MOUSE Dynactin subunit 1 OS=Mus musculus OX=10090 GN=Dctn1 PE=1 SV=3,1,3,3,3,1,0,0,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,3.7,3.7,3.7,141.67,1281,1281,1,7,0,20.31,By matching,,,By MS/MS,By MS/MS,By MS/MS,0.8,0,0,2.7,1.7,2.7,9680900,389980,0,0,2583300,1802300,4905300,0,0,0,174560,0,336970,0,0,0,1,2,1,4,,,,101,1158;2165;7978,True;True;True,1203;2245;8344,4418;4419;4420;4421;8433;8434;32945,3464;3465;6501;25632,3464;6501;25632,,,-1
O08795,O08795,3,3,3,Glucosidase 2 subunit beta,Prkcsh,sp|O08795|GLU2B_MOUSE Glucosidase 2 subunit beta OS=Mus musculus OX=10090 GN=Prkcsh PE=1 SV=1,1,3,3,3,2,1,1,3,3,2,2,1,1,3,3,2,2,1,1,3,3,2,6.5,6.5,6.5,58.792,521,521,1,12,0,59.062,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,4,1.9,1.9,6.5,6.5,4,17857000,442100,0,222290,7389000,5910100,3893500,159180,0,0,332970,296350,393590,1,1,1,3,3,2,11,,,,102,1763;5121;8946,True;True;True,1828;5326;9349,6818;6819;20926;20927;20928;20929;36920;36921;36922;36923;36924;36925,5317;5318;16309;16310;16311;28531;28532;28533;28534;28535;28536,5317;16311;28535,,,-1
O08807,O08807,6,6,6,Peroxiredoxin-4,Prdx4,sp|O08807|PRDX4_MOUSE Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1,1,6,6,6,4,4,5,6,6,6,4,4,5,6,6,6,4,4,5,6,6,6,20.1,20.1,20.1,31.052,274,274,1,49,0,82.105,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.4,16.8,20.1,20.1,20.1,20.1,737690000,12619000,3913700,5894500,276710000,290540000,148010000,5830500,5425200,5531500,13422000,13145000,13797000,5,5,6,9,7,9,41,,,,103,3116;4467;6793;7825;8486;8487,True;True;True;True;True;True,3226;4649;7058;8187;8865;8866,12264;12265;12266;12267;12268;12269;18095;18096;18097;18098;18099;18100;18101;18102;18103;18104;18105;18106;18107;18108;18109;27773;27774;27775;27776;27777;32345;32346;32347;32348;32349;32350;32351;32352;32353;32354;32355;32356;32357;32358;32359;35005;35006;35007;35008;35009;35010;35011;35012,9524;9525;9526;9527;9528;9529;14209;14210;14211;14212;14213;14214;14215;14216;14217;21484;21485;21486;21487;21488;25188;25189;25190;25191;25192;25193;25194;25195;25196;25197;25198;25199;25200;25201;25202;27085;27086;27087;27088;27089;27090;27091,9527;14214;21488;25194;27089;27091,,,-1
O08810,O08810,8,7,7,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,sp|O08810|U5S1_MOUSE 116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus OX=10090 GN=Eftud2 PE=1 SV=1,1,8,7,7,6,0,3,3,6,4,5,0,2,2,5,3,5,0,2,2,5,3,9.8,8.8,8.8,109.36,971,971,1,17,0,45.707,By MS/MS,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,7.6,0,3.4,3.4,7.2,4,13424000,3786400,0,354240,1666000,5798100,1818900,524970,0,241850,98081,145510,201010,5,0,1,1,5,2,14,,,,104,2374;2947;4301;4302;6273;8573;9709;11099,True;False;True;True;True;True;True;True,2463;3055;4467;4468;6524;8960;10153;11606,9257;11569;11570;11571;11572;11573;17204;17205;17206;17207;17208;25640;25641;25642;25643;25644;35416;40392;40393;40394;46319;46320,7166;9004;9005;9006;9007;9008;13479;13480;13481;13482;13483;19905;19906;27391;31609;31610;31611;36329;36330,7166;9005;13479;13482;19905;27391;31609;36329,,,-1
O08848,O08848,4,4,4,60 kDa SS-A/Ro ribonucleoprotein,Trove2,sp|O08848|RO60_MOUSE 60 kDa SS-A/Ro ribonucleoprotein OS=Mus musculus OX=10090 GN=RO60 PE=1 SV=1,1,4,4,4,2,2,2,3,4,4,2,2,2,3,4,4,2,2,2,3,4,4,9.5,9.5,9.5,60.123,538,538,1,23,0,43.638,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,5,5,5,7.4,9.5,9.5,35235000,1262200,209080,1000600,7162700,18708000,6892400,409280,225030,765890,363770,617620,488100,2,1,2,3,5,4,17,,,,105,486;1686;5776;9670,True;True;True;True,501;1748;6002;10113,1855;1856;1857;6503;6504;6505;6506;6507;6508;23632;23633;40237;40238;40239;40240;40241;40242;40243;40244;40245;40246;40247;40248,1455;1456;1457;5068;5069;5070;5071;5072;5073;18374;31493;31494;31495;31496;31497;31498;31499,1455;5071;18374;31497,,,-1
O08915,O08915,4,4,4,AH receptor-interacting protein,Aip,sp|O08915|AIP_MOUSE AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1,1,4,4,4,2,1,1,4,4,4,2,1,1,4,4,4,2,1,1,4,4,4,17.3,17.3,17.3,37.605,330,330,1,16,0,76.365,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,7.9,4.5,4.5,17.3,17.3,17.3,95049000,527520,154890,105230,32797000,37864000,23600000,141260,0,0,822900,772380,813680,1,0,1,4,4,4,14,,,,106,287;889;9731;10510,True;True;True;True,295;922;10176;10996,1091;1092;1093;3416;3417;3418;3419;40480;40481;40482;40483;40484;40485;43909;43910;43911,869;870;871;2663;2664;2665;31678;31679;31680;31681;31682;34454;34455;34456,870;2664;31682;34454,,,-1
O08919,O08919,1,1,1,Numb-like protein,Numbl,sp|O08919|NUMBL_MOUSE Numb-like protein OS=Mus musculus OX=10090 GN=Numbl PE=1 SV=3,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1.8,1.8,1.8,64.13,604,604,1,3,0.0025073,6.5853,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,1.8,1.8,1.8,1019500,0,0,0,316260,475830,227370,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,107,11264,TRUE,11780,47054;47055;47056,36903;36904;36905,36903,,,-1
O08967;Q9QX11;Q80YW0,O08967,3;1;1,3;1;1,2;0;0,Cytohesin-3,Cyth3,sp|O08967|CYH3_MOUSE Cytohesin-3 OS=Mus musculus OX=10090 GN=Cyth3 PE=1 SV=1,3,3,3,2,0,0,0,2,3,2,0,0,0,2,3,2,0,0,0,1,2,1,10.8,10.8,9,46.279,399,399;398;393,1,7,0,17.341,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,5.3,10.8,7.3,5686500,0,0,0,2065600,3266800,354100,0,0,0,98941,104910,92808,0,0,0,2,3,0,5,,,,108,3038;6029;7732,True;True;True,3147;6269;8091,11960;11961;24689;24690;31964;31965;31966,9310;9311;19177;24916;24917,9311;19177;24916,,,-1;-1;-1
O08992,O08992,2,2,2,Syntenin-1,Sdcbp,sp|O08992|SDCB1_MOUSE Syntenin-1 OS=Mus musculus OX=10090 GN=Sdcbp PE=1 SV=1,1,2,2,2,2,0,1,2,2,2,2,0,1,2,2,2,2,0,1,2,2,2,7,7,7,32.379,299,299,1,12,0,15.328,By MS/MS,,By matching,By MS/MS,By MS/MS,By MS/MS,7,0,3.7,7,7,7,53520000,616250,0,188380,16990000,21324000,14401000,286450,0,0,1160900,1206600,1433900,1,0,0,2,2,2,7,,,,109,1336;8986,True;True,1384;9391,5077;5078;5079;5080;5081;5082;5083;5084;37086;37087;37088;37089,3969;3970;3971;3972;28655;28656;28657,3972;28655,,,-1
O08997,O08997,2,2,2,Copper transport protein ATOX1,Atox1,sp|O08997|ATOX1_MOUSE Copper transport protein ATOX1 OS=Mus musculus OX=10090 GN=Atox1 PE=1 SV=1,1,2,2,2,1,1,0,2,2,2,1,1,0,2,2,2,1,1,0,2,2,2,20.6,20.6,20.6,7.3384,68,68,1,8,0,14.059,By matching,By MS/MS,,By MS/MS,By MS/MS,By MS/MS,19.1,20.6,0,20.6,20.6,20.6,17739000,412160,72558,0,5292800,5803400,6158200,0,0,0,302330,250470,460000,0,0,0,2,2,2,6,,,,110,5761;5762,True;True,5986;5987,23554;23555;23556;23557;23558;23559;23560;23561,18320;18321;18322;18323;18324;18325,18322;18323,,,-1
O09000,O09000,2,2,2,Nuclear receptor coactivator 3,Ncoa3,sp|O09000|NCOA3_MOUSE Nuclear receptor coactivator 3 OS=Mus musculus OX=10090 GN=Ncoa3 PE=1 SV=2,1,2,2,2,0,0,0,2,1,2,0,0,0,2,1,2,0,0,0,2,1,2,3.6,3.6,3.6,151.57,1398,1398,1,5,0,22.275,,,,By MS/MS,By matching,By MS/MS,0,0,0,3.6,1.2,3.6,8523800,0,0,0,4047200,2362200,2114500,0,0,0,182540,0,127380,0,0,0,4,0,2,6,,,,111,114;893,True;True,117;926,433;434;3425;3426;3427,340;341;342;343;2669;2670,341;2669,,,-1
O09005,O09005,1,1,1,Sphingolipid delta(4)-desaturase DES1,Degs1,sp|O09005|DEGS1_MOUSE Sphingolipid delta(4)-desaturase DES1 OS=Mus musculus OX=10090 GN=Degs1 PE=1 SV=1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5.6,5.6,5.6,38.241,323,323,1,1,0.002901,6.5192,,,,,By MS/MS,,0,0,0,0,5.6,0,1145500,0,0,0,0,1145500,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,112,4951,TRUE,5151,20242,15812,15812,,,-1
O09053,O09053,1,1,1,Werner syndrome ATP-dependent helicase homolog,Wrn,sp|O09053|WRN_MOUSE Werner syndrome ATP-dependent helicase homolog OS=Mus musculus OX=10090 GN=Wrn PE=1 SV=3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,157.2,1401,1401,1,10,0.00049702,11.47,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.2,1.2,1.2,1.2,1.2,1.2,6103900,1218900,250550,883820,364790,3385900,0,0,0,0,0,0,0,3,0,1,1,1,2,8,,,,113,4230,TRUE,4393;4394,16927;16928;16929;16930;16931;16932;16933;16934;16935;16936,13274;13275;13276;13277;13278;13279;13280;13281,13277,50,1282,-1
O09061,O09061,2,2,2,Proteasome subunit beta type-1,Psmb1,sp|O09061|PSB1_MOUSE Proteasome subunit beta type-1 OS=Mus musculus OX=10090 GN=Psmb1 PE=1 SV=1,1,2,2,2,2,0,1,2,2,2,2,0,1,2,2,2,2,0,1,2,2,2,11.7,11.7,11.7,26.372,240,240,1,9,0,26.81,By MS/MS,,By matching,By MS/MS,By MS/MS,By MS/MS,11.7,0,5.8,11.7,11.7,11.7,39378000,1675300,0,149410,12994000,16410000,8149600,387280,0,0,648590,662420,546400,3,0,0,2,2,1,8,,,,114,2849;7334,True;True,2954;7677,11163;11164;11165;11166;30352;30353;30354;30355;30356,8685;8686;8687;8688;8689;23717;23718;23719,8689;23717,,,-1
O09106;O88895,O09106,6;1,1;0,1;0,Histone deacetylase 1,Hdac1,sp|O09106|HDAC1_MOUSE Histone deacetylase 1 OS=Mus musculus OX=10090 GN=Hdac1 PE=1 SV=1,2,6,1,1,6,2,3,6,6,6,1,0,0,1,1,1,1,0,0,1,1,1,15.1,3.9,3.9,55.074,482,482;424,1,7,0,14.389,By MS/MS,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,15.1,4.1,6.6,15.1,15.1,15.1,7635800,615340,0,0,2944900,3154400,921150,0,0,0,187390,167200,0,0,0,0,3,1,2,6,,,,115,5126;5841;7067;8879;10616;11160,False;True;False;False;False;False,5331;6071;6072;7392;7393;9277;11108;11109;11671,20950;20951;20952;20953;23893;23894;23895;23896;23897;23898;23899;28918;28919;28920;28921;28922;28923;28924;28925;36617;36618;36619;36620;36621;44327;44328;44329;44330;44331;44332;44333;44334;46596;46597;46598;46599;46600;46601,16325;18592;18593;18594;18595;18596;18597;22304;22305;22306;22307;22308;22309;22310;22311;28298;28299;28300;28301;28302;34772;34773;34774;34775;34776;36558;36559;36560;36561,16325;18594;22311;28299;34776;36561,51;52;53,37;194;350,-1;-1
O09110,O09110,1,1,1,Dual specificity mitogen-activated protein kinase kinase 3,Map2k3,sp|O09110|MP2K3_MOUSE Dual specificity mitogen-activated protein kinase kinase 3 OS=Mus musculus OX=10090 GN=Map2k3 PE=1 SV=2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.3,4.3,4.3,39.296,347,347,1,1,0.0044088,6.2827,,,,By MS/MS,,,0,0,0,4.3,0,0,299530,0,0,0,299530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,116,4453,TRUE,4634,18043,14170,14170,,,-1
O09131;Q8K2Q2,O09131;Q8K2Q2,1;1,1;1,1;1,Glutathione S-transferase omega-1;Glutathione S-transferase omega-2,Gsto1;Gsto2,sp|O09131|GSTO1_MOUSE Glutathione S-transferase omega-1 OS=Mus musculus OX=10090 GN=Gsto1 PE=1 SV=2;sp|Q8K2Q2|GSTO2_MOUSE Glutathione S-transferase omega-2 OS=Mus musculus OX=10090 GN=Gsto2 PE=1 SV=1,2,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,3.8,3.8,3.8,27.497,240,240;248,1,4,0.001759,7.0817,,,By matching,By MS/MS,By MS/MS,By MS/MS,0,0,3.8,3.8,3.8,3.8,3229200,0,0,102660,1129800,1325200,671550,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,117,3548,TRUE,3679,13974;13975;13976;13977,10862;10863;10864,10862,,,-1;-1
O09167,O09167,2,2,2,60S ribosomal protein L21,Rpl21,sp|O09167|RL21_MOUSE 60S ribosomal protein L21 OS=Mus musculus OX=10090 GN=Rpl21 PE=1 SV=3,1,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,15,15,15,18.562,160,160,1,7,0,13.865,By MS/MS,,,By MS/MS,By MS/MS,By MS/MS,5.6,0,0,15,15,15,14791000,791520,0,0,5290200,4992100,3717100,0,0,0,407190,332740,482930,0,0,0,1,1,2,4,,,,118,1770;10934,True;True,1835;11439,6843;6844;6845;6846;45619;45620;45621,5331;5332;5333;35763,5332;35763,,,-1
O09172,O09172,2,2,2,Glutamate--cysteine ligase regulatory subunit,Gclm,sp|O09172|GSH0_MOUSE Glutamate--cysteine ligase regulatory subunit OS=Mus musculus OX=10090 GN=Gclm PE=1 SV=1,1,2,2,2,1,0,1,2,2,2,1,0,1,2,2,2,1,0,1,2,2,2,10.2,10.2,10.2,30.534,274,274,1,8,0,37.978,By MS/MS,,By matching,By MS/MS,By MS/MS,By MS/MS,4.7,0,4.7,10.2,10.2,10.2,35889000,500520,0,216320,13393000,13915000,7864700,0,0,0,524860,454660,430970,1,0,0,2,2,3,8,,,,119,5684;9750,True;True,5908;10196,23223;23224;23225;23226;23227;40568;40569;40570,18043;18044;18045;18046;31760;31761;31762;31763,18044;31763,,,-1
O35066,O35066,1,1,1,Kinesin-like protein KIF3C,Kif3c,sp|O35066|KIF3C_MOUSE Kinesin-like protein KIF3C OS=Mus musculus OX=10090 GN=Kif3c PE=1 SV=3,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1.8,1.8,1.8,89.972,796,796,1,3,0.0017913,7.4238,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,1.8,1.8,1.8,1199300,0,0,0,324790,553550,320970,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,120,10766,TRUE,11268,44934;44935;44936,35223;35224;35225,35225,,,-1
O35085,O35085,2,1,1,Homeobox protein ARX,Arx,sp|O35085|ARX_MOUSE Homeobox protein ARX OS=Mus musculus OX=10090 GN=Arx PE=1 SV=3,1,2,1,1,1,0,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,2.7,1.2,1.2,58.49,564,564,1,3,0.0099502,6.012,By matching,,,By MS/MS,By MS/MS,By MS/MS,1.4,0,0,2.7,2.7,2.7,4219900,0,0,0,1294500,1709000,1216300,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,121,5549;10755,True;False,5769;11257,22720;22721;22722;44892;44893;44894;44895,17652;17653;17654;35190;35191;35192,17652;35190,,,-1
O35098,O35098,1,1,1,Dihydropyrimidinase-related protein 4,Dpysl4,sp|O35098|DPYL4_MOUSE Dihydropyrimidinase-related protein 4 OS=Mus musculus OX=10090 GN=Dpysl4 PE=1 SV=1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,2.8,2.8,2.8,61.961,572,572,1,4,1,-2,,By MS/MS,,By MS/MS,By matching,By MS/MS,0,2.8,0,2.8,2.8,2.8,8519700,0,112740,0,2592300,3428600,2386100,0,0,0,0,0,0,0,0,0,1,0,1,2,+,,,122,6887,TRUE,7163,28147;28148;28149;28150,21767;21768,21768,54,375,-1
O35114,O35114,1,1,1,Lysosome membrane protein 2,Scarb2,sp|O35114|SCRB2_MOUSE Lysosome membrane protein 2 OS=Mus musculus OX=10090 GN=Scarb2 PE=1 SV=3,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,4,4,4,54.043,478,478,1,4,0.0017234,6.8776,By MS/MS,,By matching,,By MS/MS,By MS/MS,4,0,4,0,4,4,2875700,517550,0,73903,0,1187500,1096700,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,123,9366,TRUE,9786,38798;38799;38800;38801,30290,30290,,,-1
O35126,O35126,2,2,2,Atrophin-1,Atn1,sp|O35126|ATN1_MOUSE Atrophin-1 OS=Mus musculus OX=10090 GN=Atn1 PE=1 SV=1,1,2,2,2,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,1,1,2,4.7,4.7,4.7,123.72,1175,1175,1,4,0,14.743,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,2.4,2.4,4.7,7153400,0,0,0,2471200,1907100,2775100,0,0,0,0,0,0,0,0,0,1,0,1,2,,,,124,3589;6013,True;True,3721;6252,14142;24628;24629;24630,11013;19138,11013;19138,,,-1
O35127,O35127,1,1,1,Protein C10,Grcc10,sp|O35127|C10_MOUSE Protein C10 OS=Mus musculus OX=10090 GN=Grcc10 PE=1 SV=1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,11.9,11.9,11.9,13.194,126,126,1,3,0,97.876,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,11.9,11.9,11.9,37897000,0,0,0,0,21293000,16604000,0,0,0,0,0,0,0,0,0,1,3,1,5,,,,125,9405,TRUE,9828,38948;38949;38950,30409;30410;30411;30412;30413,30413,,,-1
O35129,O35129,3,3,3,Prohibitin-2,Phb2,sp|O35129|PHB2_MOUSE Prohibitin-2 OS=Mus musculus OX=10090 GN=Phb2 PE=1 SV=1,1,3,3,3,2,0,0,3,3,1,2,0,0,3,3,1,2,0,0,3,3,1,12.7,12.7,12.7,33.296,299,299,1,9,0,24.088,By MS/MS,,,By MS/MS,By MS/MS,By MS/MS,8.4,0,0,12.7,12.7,5.7,22087000,910650,0,0,9034200,9457100,2684500,303260,0,0,344110,328650,0,2,0,0,3,2,1,8,,,,126,4127;4487;5775,True;True;True,4287;4669;6001,16472;16473;16474;16475;18174;18175;23629;23630;23631,12925;12926;12927;12928;14270;18371;18372;18373,12927;14270;18372,,,-1
O35166,O35166,1,1,1,Golgi SNAP receptor complex member 2,Gosr2,sp|O35166|GOSR2_MOUSE Golgi SNAP receptor complex member 2 OS=Mus musculus OX=10090 GN=Gosr2 PE=1 SV=2,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,12.3,12.3,12.3,24.725,212,212,1,4,0,11.997,By MS/MS,,,By MS/MS,By MS/MS,By MS/MS,12.3,0,0,12.3,12.3,12.3,1795100,105130,0,0,668740,685520,335670,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,127,92,TRUE,95,349;350;351;352,268;269;270,270,,,-1
O35215,O35215,4,4,4,D-dopachrome decarboxylase,Ddt,sp|O35215|DOPD_MOUSE D-dopachrome decarboxylase OS=Mus musculus OX=10090 GN=Ddt PE=1 SV=3,1,4,4,4,2,2,2,2,4,3,2,2,2,2,4,3,2,2,2,2,4,3,34.7,34.7,34.7,13.077,118,118,1,15,0,90.92,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.9,13.6,13.6,16.9,34.7,23.7,20532000,951570,239980,105820,4428300,7932900,6873800,232640,0,0,234810,269950,337240,1,0,1,2,2,2,8,,,,128,2577;4441;7536;9631,True;True;True;True,2674;4621;7888;10074,10076;10077;10078;10079;17988;17989;17990;17991;17992;31188;40071;40072;40073;40074;40075,7799;7800;7801;14125;14126;24347;31356;31357,7800;14125;24347;31357,,,-1
O35218,O35218,1,1,1,Cleavage and polyadenylation specificity factor subunit 2,Cpsf2,sp|O35218|CPSF2_MOUSE Cleavage and polyadenylation specificity factor subunit 2 OS=Mus musculus OX=10090 GN=Cpsf2 PE=1 SV=1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1.7,1.7,1.7,88.382,782,782,1,2,0.0017691,7.1646,,,,,By MS/MS,By matching,0,0,0,0,1.7,1.7,812890,0,0,0,0,606250,206640,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,129,10508,TRUE,10994,43901;43902,34450,34450,,,-1
O35226,O35226,1,1,1,26S proteasome non-ATPase regulatory subunit 4,Psmd4,sp|O35226|PSMD4_MOUSE 26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.9,1.9,1.9,40.703,376,376,1,7,0.0085205,6.071,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.9,1.9,1.9,1.9,1.9,1.9,2337700,58911,51646,41945,750280,498820,936080,0,0,0,0,0,0,1,1,1,1,1,1,6,,,,130,10114,TRUE,10578,42018;42019;42020;42021;42022;42023;42024,32878;32879;32880;32881;32882;32883,32881,,,-1
O35280,O35280,1,1,1,Serine/threonine-protein kinase Chk1,Chek1,sp|O35280|CHK1_MOUSE Serine/threonine-protein kinase Chk1 OS=Mus musculus OX=10090 GN=Chek1 PE=1 SV=2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.4,3.4,3.4,54.381,476,476,1,6,0.0058662,6.1378,By MS/MS,By matching,By matching,By MS/MS,By matching,By matching,3.4,3.4,3.4,3.4,3.4,3.4,5486800,199180,53015,62867,1861200,2400800,909750,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,131,1087,TRUE,1130,4158;4159;4160;4161;4162;4163,3270,3270,,,-1
O35286,O35286,9,9,9,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,sp|O35286|DHX15_MOUSE Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus OX=10090 GN=Dhx15 PE=1 SV=2,1,9,9,9,9,2,6,9,9,5,9,2,6,9,9,5,9,2,6,9,9,5,17.9,17.9,17.9,91.006,795,795,1,40,0,80.569,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,17.9,2.6,9.6,17.9,17.9,10.8,69698000,8246000,352550,1153100,21829000,30554000,7563500,750600,268300,367710,369650,399370,251900,8,1,2,7,8,4,30,,,,132,1237;2171;2724;3792;3803;4573;5770;9578;9629,True;True;True;True;True;True;True;True;True,1282;2251;2823;3937;3948;4758;5996;10017;10072,4710;4711;4712;4713;8451;8452;8453;8454;8455;8456;10642;10643;10644;10645;15046;15047;15048;15080;15081;15082;15083;18529;18530;18531;18532;18533;23609;23610;23611;39670;39671;39672;39673;39674;39675;40064;40065;40066;40067;40068,3675;3676;3677;6514;6515;6516;8252;8253;8254;11711;11712;11713;11734;11735;11736;14527;14528;14529;14530;18359;31000;31001;31002;31003;31347;31348;31349;31350;31351;31352,3675;6516;8252;11711;11736;14527;18359;31001;31352,,,-1
